c_code,company_alias,b_cat,company_name
NGLA83C223,BAOLONG,B,SHANGHAI BAOLONG SALES CO
NGLA83C891,ZILIN ,,SHANGHAI JIANGCHUAN (ZILIN)
NGLA83C892,TANGYANG,,NINGBO TANGYANG
NGLA83C893,SIMING,,NINGBO SIMING AUTO
NGLA83C894,WAVE,,NINGBO WAVE
NGLA83C895,YINLUN,,"ZHEJIANG YINLUN MACHINERY CO., LTD"
NGLA83C896,JINGXIN,,WUXI JINGXIN PRECISION MA
NGLA83C897,YONGYI,,YONGYI PRECISION MANUFACTURE
NGLA83C898,ESTAMP,,ESTAMP AUTOMOTIVE COMPONENTS CO. LTD.
NGLA83C899,XINYU,,TAIZHOU XINYU
NGLA83C900,GUOBO,,SHANGAI GUOBO
NGLA83C901,NEWAITE,,NEW AITE HOUSEHOLD
NGLA83C902,ESSENCE,,ESSENCE FASTENING SYSTEMS
NGLA83C903,KOAL,,SHANGHAI KOAL
NGLA83C904,DAIFONG,,DAIFONG PRECISION
NGLA83C905,LIBO,,QINGDAO LIBO AUTO PARTS
NGLA83C906,SINTS,,ZHONGSHAN SINTS / TIANQI
NGLA83C907,SEGLIAN,,"SEGLIAN MANUFACTURING GROUP, INC."
NGLA83C908,XINYI,,
NGLA83C909,SHIDA,,SHIDA TONGTAI
NGLA83C916,SJM,,YANTAI SJM CO. LTD
NGLA83C917,ZHENJIAN,,CHONGQING ZHENJIAN
NGLA83C918,SHIELD ,,NINGBO SHIELD
NGLA83C921,GINHO,,GINHO PRECISION
NGLA83C946,A&C,,A&C CORPORATION
NGLA83C970,FENGHUA,,CHONGQUING FENGHUA
NGLA83C971,LONGSHAN,,LONGSHAN
NGLA83C979,JINPAI,,XIXIA INTAKE
NGLA83CA05,YUGOO,,SHANGHAI YUGOO
NGLA83CA26,JINJIANG,,"DALIAN JINJIANG AUTO PARTS CO., LTD"
NGLA83CA35,BAOLONG,A,SHANGHAI BAOLONG SALES CO
NGLA83CA46,MEILI,,
NGLA83CA54,DIGIT,,
NGLA83CA55,SINOTEC,,SINOTEC
NGLA83CA90,KINROM,,KINROM
NGLA83CB03,HONGLI,,
NGLA83CB04,SHB,,
NGLA83CB22,OKE,,
NGLA83C118,RIHAN,,SHANGAI RIHAN
